fingerprint_bit,importance
514,0.00029847514686327293
1298,0.0002975553193926531
1445,0.0002968623275330468
834,0.00029410926749226014
99,0.0002934325800381407
91,0.00029312120198930926
87,0.00029040818750154275
1834,0.00028998778948179126
56,0.00028959486135479576
57,0.0002891641343880522
1529,0.00028780702892118425
3,0.00028770001672382713
1484,0.0002871213322685239
829,0.0002867447911811235
421,0.00028521196504070355
750,0.00028409334270122896
1002,0.0002840338908442394
1862,0.00028376780364602726
33,0.0002834631739852292
1952,0.00028265332970201006
1268,0.00028234809188198046
731,0.00028226881152192015
992,0.00028220652562276267
2030,0.000281528427692135
825,0.00028069444242280874
1333,0.0002797598605707722
221,0.00027824219661237595
622,0.00027792156833727295
147,0.0002771933911973636
1055,0.00027709608402409145
936,0.00027642085178556053
475,0.0002761655491629296
2046,0.00027575653089001196
642,0.00027495489579868333
1495,0.0002743611609263162
1264,0.00027368535031854763
448,0.000273532538422458
614,0.0002727548702103515
689,0.0002727454392448133
1104,0.00027167225119726474
1231,0.0002709568618178972
1047,0.0002707459101879176
208,0.00026936391429330296
1007,0.0002691565757560975
1086,0.0002674729471156065
947,0.0002674619581575552
555,0.000267447142103311
964,0.0002662235136916417
1494,0.00026594639992678497
965,0.0002644456123577456
1859,0.00026435664216744643
1319,0.00026430503216585244
83,0.00026387595553836377
86,0.00026225742113893666
710,0.00026137309782246044
600,0.0002601189156233608
1556,0.00025986186731039913
2018,0.000259452887318475
1873,0.000259196815480712
635,0.0002564027117999653
573,0.00025624366331958466
1471,0.00025543657385528724
1254,0.00025403661246758996
968,0.00025396871756746685
1392,0.0002534928987968875
1746,0.0002525216591407635
93,0.0002520467185806334
1348,0.0002506008303468903
357,0.0002497929203227943
758,0.00024840319759796556
1497,0.00024755814600225753
1734,0.0002472117586411899
34,0.0002469444925896654
581,0.00024616519500234165
121,0.00024603377834399185
167,0.0002441206349874854
1126,0.00024364969311191926
1330,0.0002434431998717026
1211,0.00024227017550148438
431,0.00024149282655783308
212,0.00024033347577367384
1461,0.0002396475928296939
1954,0.00023951374434343545
1255,0.00023929415034926513
1577,0.00023840105238644282
1147,0.00023834104430229899
157,0.00023774068399466775
1620,0.0002366199843673638
1941,0.0002362972663615375
163,0.00023618539400961836
5,0.00023576932055953376
1174,0.0002326497837235166
11,0.00023126855588369524
1633,0.00023061626204676542
1483,0.00022982152046705176
1561,0.0002285872966197284
1399,0.00022838205147064172
293,0.0002280637358983788
507,0.00022790358492234437
1766,0.0002278739958804262
1770,0.00022585070318233616
952,0.00022572156200662935
351,0.00022289029100378243
1820,0.000222259796904659
62,0.00022220542595013514
444,0.00022202576405257895
909,0.00022172484796770562
1404,0.00022124750243284873
1530,0.0002210161277925539
866,0.00022015905839291032
375,0.00021999898918078297
2014,0.0002196064884726707
814,0.0002194764807281144
1141,0.00021937820712019266
81,0.0002183699537793668
112,0.0002180046151494492
1927,0.00021675767414353587
480,0.00021667698992776016
295,0.00021530547661607026
836,0.0002152083369280846
598,0.0002150246818768665
847,0.0002149468282751389
766,0.000214881790123874
325,0.00021476043983182177
735,0.0002143442415034136
949,0.0002130059721846625
1963,0.00021297434657984116
1209,0.00021279009776820944
146,0.0002118966607931382
1973,0.0002118348796032297
632,0.00021161926383540483
953,0.00021141959882003752
2017,0.00021115116198766254
1652,0.00021056096919522607
838,0.0002101329551325572
664,0.00020968853745917905
213,0.00020940288296915127
1527,0.0002091872174408738
996,0.00020868961068308268
2,0.00020838868225892505
1800,0.00020828737232948997
1704,0.00020821361218262995
54,0.00020733912048262696
568,0.00020681153660178313
522,0.0002067841546184986
1291,0.0002030377668226426
1581,0.00020269024848820378
1067,0.00020179410846328185
1235,0.00020149979323343673
1891,0.00020119414678608006
1860,0.00020104038285398618
1048,0.00020077093241841984
1281,0.00020024199457422713
95,0.00019982743204943106
1899,0.00019914189921337144
1334,0.00019870883824505602
621,0.00019753433799040768
1727,0.000197236529816221
153,0.00019569900961275403
714,0.00019548573902271966
1844,0.0001951747607227805
335,0.0001951047187670504
1998,0.00019461689463962594
2033,0.00019459319793761935
941,0.0001944871306421749
1123,0.00019402490398685328
541,0.00019395678130923387
128,0.00019362843787782438
892,0.00019332858236897996
1886,0.00019329371853003805
393,0.00019328707745641945
1624,0.00019258824119819005
107,0.00018941708517453942
611,0.00018867900708924426
970,0.00018798213116482762
1672,0.00018791438297438904
1904,0.00018768524584621843
245,0.00018624473576327392
1219,0.00018594678533453263
705,0.00018508739366083826
1715,0.00018430236461723366
1052,0.00018428703966653863
1851,0.00018406344069014599
1589,0.00018340265614785362
271,0.00018182413314831093
826,0.00018104488824264783
532,0.00018076982405713972
491,0.00018065201223596908
189,0.00018052110484895737
1703,0.00018036096543982375
1395,0.00018009345426278796
1798,0.00017992997596707273
1373,0.0001796726577529315
262,0.00017959576320230035
981,0.00017950009000561196
288,0.00017944740869814478
1232,0.0001794014908789607
1925,0.00017890443387651178
343,0.00017841567229277
211,0.00017751002502851276
1638,0.00017743333986299366
1184,0.0001773471145617244
278,0.00017728017482932605
1974,0.00017650850410302085
610,0.00017585226891524218
2034,0.00017495978353151848
985,0.0001749323168120827
1712,0.00017323847971704214
1296,0.00017317768899780716
272,0.0001714028935594513
1815,0.00017047130430613072
888,0.0001699406029352291
692,0.00016986925847195728
1962,0.0001694637702952598
